CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-09 00:00,2.3,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-10 00:00,5.2,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-11 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-12 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-13 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-14 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-15 00:00,33.9,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-16 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-17 00:00,3.9,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-18 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-19 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-20 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-21 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-22 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-23 00:00,2.5,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-24 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-25 00:00,29.6,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-26 00:00,39.6,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-27 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-28 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-29 00:00,9.5,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-09-30 00:00,12.4,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-01 00:00,14.2,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-02 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-03 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-04 00:00,42.2,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-05 00:00,16.7,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-06 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-07 00:00,4.7,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-08 00:00,24.9,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-09 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-10 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-11 00:00,21.9,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-12 00:00,30.5,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-13 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-14 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-15 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-16 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-17 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-18 00:00,2.4,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-19 00:00,0,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-20 00:00,3.5,50,,900
26200130,BOLOMBOLO [26200130],5.9681,-75.8374,530,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 01 - Antioquia-Chocó,Antioquia,Venecia,15/05/1980 00:00,,PRECIPITACION,PTPM_CON,Día pluviométrico (convencional),Diaria,2020-10-21 00:00,0,50,,900
